fold,n_hidden_layers,hidden_width,activation,dropout,batch_size,lr,weight_decay,residual,scheduler,l0_lambda,mae,rmse,r2,best_epoch,feat_count@0.50,key
3,3,256,relu,0.0,1024,0.02,0.0005,True,cosine,0.0,7.5173616,9.938383102416992,0.7685577923066854,115,5460.0,{"activation": "relu", "batch_size": 1024, "dropout": 0.0, "hidden_width": 256, "l0_lambda": 0.0, "lr": 0.02, "n_hidden_layers": 3, "weight_decay": 0.0005}
4,3,256,relu,0.0,1024,0.02,0.0005,True,cosine,0.0,7.3108487,10.009212493896484,0.7633116960681949,96,5460.0,{"activation": "relu", "batch_size": 1024, "dropout": 0.0, "hidden_width": 256, "l0_lambda": 0.0, "lr": 0.02, "n_hidden_layers": 3, "weight_decay": 0.0005}
5,3,256,relu,0.0,1024,0.02,0.0005,True,cosine,0.0,7.8092594,10.532477378845215,0.7420303258028278,104,5460.0,{"activation": "relu", "batch_size": 1024, "dropout": 0.0, "hidden_width": 256, "l0_lambda": 0.0, "lr": 0.02, "n_hidden_layers": 3, "weight_decay": 0.0005}
1,3,256,relu,0.0,2048,0.01,0.0,True,cosine,1e-07,8.835613,11.93759822845459,0.6975078321167536,100,5460.0,{"activation": "relu", "batch_size": 2048, "dropout": 0.0, "hidden_width": 256, "l0_lambda": 1e-07, "lr": 0.01, "n_hidden_layers": 3, "weight_decay": 0.0}
2,3,256,relu,0.0,2048,0.01,0.0,True,cosine,1e-07,8.482066,10.733213424682617,0.7482208081830246,110,5460.0,{"activation": "relu", "batch_size": 2048, "dropout": 0.0, "hidden_width": 256, "l0_lambda": 1e-07, "lr": 0.01, "n_hidden_layers": 3, "weight_decay": 0.0}
3,3,256,relu,0.0,2048,0.01,0.0,True,cosine,1e-07,8.232135,10.415814399719238,0.7457871171355921,94,5460.0,{"activation": "relu", "batch_size": 2048, "dropout": 0.0, "hidden_width": 256, "l0_lambda": 1e-07, "lr": 0.01, "n_hidden_layers": 3, "weight_decay": 0.0}
4,3,256,relu,0.0,2048,0.01,0.0,True,cosine,1e-07,8.033054,10.282049179077148,0.7502322818569205,106,5460.0,{"activation": "relu", "batch_size": 2048, "dropout": 0.0, "hidden_width": 256, "l0_lambda": 1e-07, "lr": 0.01, "n_hidden_layers": 3, "weight_decay": 0.0}
5,3,256,relu,0.0,2048,0.01,0.0,True,cosine,1e-07,8.212382,10.794500350952148,0.7290353359378814,105,5460.0,{"activation": "relu", "batch_size": 2048, "dropout": 0.0, "hidden_width": 256, "l0_lambda": 1e-07, "lr": 0.01, "n_hidden_layers": 3, "weight_decay": 0.0}
1,3,256,gelu,0.0,2048,0.02,0.0005,True,cosine,0.0001,8.655172,11.631927490234375,0.7128005037594467,101,5460.0,{"activation": "gelu", "batch_size": 2048, "dropout": 0.0, "hidden_width": 256, "l0_lambda": 0.0001, "lr": 0.02, "n_hidden_layers": 3, "weight_decay": 0.0005}
2,3,256,gelu,0.0,2048,0.02,0.0005,True,cosine,0.0001,8.097492,10.485658645629883,0.7597011259112202,93,5460.0,{"activation": "gelu", "batch_size": 2048, "dropout": 0.0, "hidden_width": 256, "l0_lambda": 0.0001, "lr": 0.02, "n_hidden_layers": 3, "weight_decay": 0.0005}
3,3,256,gelu,0.0,2048,0.02,0.0005,True,cosine,0.0001,7.876254,10.07624626159668,0.7620922504903602,102,5459.0,{"activation": "gelu", "batch_size": 2048, "dropout": 0.0, "hidden_width": 256, "l0_lambda": 0.0001, "lr": 0.02, "n_hidden_layers": 3, "weight_decay": 0.0005}
4,3,256,gelu,0.0,2048,0.02,0.0005,True,cosine,0.0001,7.8964863,10.112462997436523,0.7584033625670682,98,5460.0,{"activation": "gelu", "batch_size": 2048, "dropout": 0.0, "hidden_width": 256, "l0_lambda": 0.0001, "lr": 0.02, "n_hidden_layers": 3, "weight_decay": 0.0005}
